Customer ID	Full Name	Date of Purchase	Age	State	MTN Device	Gender	Satisfaction Rate	Customer Review	Customer Tenure in months	Subscription Plan	 Unit Price 	Number of Times Purchased	 Total Revenue 	Data Usage	Customer Churn Status	Reasons for Churn
CUST0021	Oghene Brown	01 March 2025	42	Imo	Mobile SIM Card	Male	5	Excellent	23	10GB+10mins Monthly Plan	" ?4,500.00 "	1	" ?4,500.00 "	176.34	No	No Churn
CUST0022	Shehu Ferguson	01 February 2025	58	Kogi	Mobile SIM Card	Male	1	Poor	18	500MB Daily Plan	 ?350.00 	15	" ?5,250.00 "	40.31	No	No Churn
CUST0023	Oghene Vazquez	01 February 2025	55	Osun	5G Broadband Router	Male	4	Very Good	2	200GB Monthly Broadband Plan	" ?25,000.00 "	13	" ?325,000.00 "	128.48	No	No Churn
CUST0024	David Johnson	01 March 2025	58	Kano	Broadband MiFi	Male	2	Fair	57	120GB Monthly Broadband Plan	" ?24,000.00 "	11	" ?264,000.00 "	87.20	No	No Churn
CUST0024	David Johnson	01 March 2025	58	Kano	Mobile SIM Card	Male	2	Fair	57	20GB Monthly Plan	" ?7,500.00 "	17	" ?127,500.00 "	121.44	No	No Churn
CUST0025	Ifeanyi Brown	01 March 2025	65	Benue	4G Router	Female	1	Poor	3	65GB Monthly Plan	" ?16,000.00 "	11	" ?176,000.00 "	189.80	No	No Churn
CUST0025	Ifeanyi Brown	01 March 2025	65	Benue	Mobile SIM Card	Female	1	Poor	3	7GB Monthly Plan	" ?3,500.00 "	4	" ?14,000.00 "	132.85	No	No Churn
CUST0025	Ifeanyi Brown	01 March 2025	65	Benue	5G Broadband Router	Female	1	Poor	3	120GB Monthly Broadband Plan	" ?24,000.00 "	14	" ?336,000.00 "	101.67	No	No Churn
CUST0026	Ese Simmons	01 March 2025	67	Cross River	5G Broadband Router	Male	4	Very Good	13	450GB 3-Month Broadband Plan	" ?75,000.00 "	1	" ?75,000.00 "	109.81	No	No Churn
CUST0027	Maryam Reyes	01 March 2025	52	Ondo	4G Router	Female	4	Very Good	51	10GB+10mins Monthly Plan	" ?4,500.00 "	10	" ?45,000.00 "	131.94	No	No Churn
CUST0027	Maryam Reyes	01 March 2025	52	Ondo	5G Broadband Router	Female	4	Very Good	51	200GB Monthly Broadband Plan	" ?25,000.00 "	8	" ?200,000.00 "	19.13	No	No Churn
CUST0027	Maryam Reyes	01 March 2025	52	Ondo	Mobile SIM Card	Female	4	Very Good	51	1GB+1.5mins Daily Plan	 ?500.00 	7	" ?3,500.00 "	45.32	No	No Churn
CUST0028	Obinna Sanchez	01 January 2025	19	Rivers	Mobile SIM Card	Male	4	Very Good	31	10GB+10mins Monthly Plan	" ?4,500.00 "	5	" ?22,500.00 "	80.23	No	No Churn
CUST0028	Obinna Sanchez	01 January 2025	19	Rivers	Mobile SIM Card	Male	4	Very Good	31	2.5GB 2-Day Plan	 ?900.00 	4	" ?3,600.00 "	178.59	No	No Churn
CUST0029	Boma Franco	01 February 2025	44	Enugu	5G Broadband Router	Female	1	Poor	4	450GB 3-Month Broadband Plan	" ?75,000.00 "	18	" ?1,350,000.00 "	166.20	No	No Churn
CUST0029	Boma Franco	01 February 2025	44	Enugu	4G Router	Female	1	Poor	4	165GB Monthly Plan	" ?35,000.00 "	16	" ?560,000.00 "	179.49	No	No Churn
CUST0030	Alabo Davis	01 March 2025	49	Imo	5G Broadband Router	Female	2	Fair	50	200GB Monthly Broadband Plan	" ?25,000.00 "	18	" ?450,000.00 "	64.28	Yes	Poor Network
CUST0030	Alabo Davis	01 March 2025	49	Imo	Broadband MiFi	Female	2	Fair	50	30GB Monthly Broadband Plan	" ?9,000.00 "	8	" ?72,000.00 "	28.11	Yes	Poor Network
CUST0030	Alabo Davis	01 March 2025	49	Imo	4G Router	Female	2	Fair	50	165GB Monthly Plan	" ?35,000.00 "	7	" ?245,000.00 "	138.94	Yes	Poor Network
CUST0031	Kunle West	01 March 2025	69	Kogi	Mobile SIM Card	Female	4	Very Good	35	2.5GB 2-Day Plan	 ?900.00 	19	" ?17,100.00 "	171.42	Yes	Better Offers from Competitors
CUST0031	Kunle West	01 February 2025	69	Kogi	5G Broadband Router	Female	4	Very Good	35	450GB 3-Month Broadband Plan	" ?75,000.00 "	12	" ?900,000.00 "	95.66	Yes	Better Offers from Competitors
CUST0032	Maryam Terry	01 February 2025	65	Kogi	Mobile SIM Card	Male	3	Good	32	7GB Monthly Plan	" ?3,500.00 "	13	" ?45,500.00 "	133.94	No	No Churn
CUST0033	Amina Mosley	01 February 2025	75	Borno	Broadband MiFi	Male	5	Excellent	59	60GB Monthly Broadband Plan	" ?14,500.00 "	15	" ?217,500.00 "	27.57	No	No Churn
CUST0034	Shehu Anderson	01 February 2025	22	Edo	5G Broadband Router	Female	4	Very Good	21	120GB Monthly Broadband Plan	" ?24,000.00 "	16	" ?384,000.00 "	167.06	No	No Churn
CUST0034	Shehu Anderson	01 February 2025	22	Edo	Mobile SIM Card	Female	4	Very Good	21	65GB Monthly Plan	" ?16,000.00 "	2	" ?32,000.00 "	149.93	No	No Churn
CUST0035	Oghene Mcguire	01 January 2025	44	Kaduna	4G Router	Male	2	Fair	49	165GB Monthly Plan	" ?35,000.00 "	19	" ?665,000.00 "	134.06	Yes	Poor Network
CUST0035	Oghene Mcguire	01 January 2025	44	Kaduna	Broadband MiFi	Male	2	Fair	49	150GB FUP Monthly Unlimited	" ?20,000.00 "	9	" ?180,000.00 "	93.27	Yes	Poor Network
CUST0035	Oghene Mcguire	01 January 2025	44	Kaduna	5G Broadband Router	Male	2	Fair	49	200GB Monthly Broadband Plan	" ?25,000.00 "	20	" ?500,000.00 "	33.97	Yes	Poor Network
CUST0036	Ifeanyi Randall	01 January 2025	36	Abia	Mobile SIM Card	Male	3	Good	38	500MB Daily Plan	 ?350.00 	8	" ?2,800.00 "	15.66	No	No Churn
CUST0036	Ifeanyi Randall	01 January 2025	36	Abia	5G Broadband Router	Male	3	Good	38	150GB FUP Monthly Unlimited	" ?20,000.00 "	10	" ?200,000.00 "	139.59	No	No Churn
CUST0037	Ifeanyi Ruiz	01 March 2025	21	Ekiti	Broadband MiFi	Female	1	Poor	43	60GB Monthly Broadband Plan	" ?14,500.00 "	12	" ?174,000.00 "	21.56	No	No Churn
CUST0037	Ifeanyi Ruiz	01 March 2025	21	Ekiti	4G Router	Female	1	Poor	43	165GB Monthly Plan	" ?35,000.00 "	14	" ?490,000.00 "	141.61	No	No Churn
CUST0038	Shehu Randall	01 February 2025	50	Adamawa	Broadband MiFi	Female	5	Excellent	30	300GB FUP Monthly Unlimited	" ?30,000.00 "	8	" ?240,000.00 "	176.39	Yes	Better Offers from Competitors
CUST0039	Zina Green	01 March 2025	64	Bayelsa	5G Broadband Router	Male	2	Fair	32	120GB Monthly Broadband Plan	" ?24,000.00 "	9	" ?216,000.00 "	176.12	No	No Churn
CUST0039	Zina Green	01 March 2025	64	Bayelsa	Mobile SIM Card	Male	2	Fair	32	65GB Monthly Plan	" ?16,000.00 "	7	" ?112,000.00 "	103.57	No	No Churn
CUST0040	Chinedu Ruiz	01 February 2025	46	Kogi	Mobile SIM Card	Female	4	Very Good	36	3.2GB 2-Day Plan	" ?1,000.00 "	13	" ?13,000.00 "	59.20	No	No Churn
CUST0040	Chinedu Ruiz	01 February 2025	46	Kogi	Broadband MiFi	Female	4	Very Good	36	150GB FUP Monthly Unlimited	" ?20,000.00 "	19	" ?380,000.00 "	61.59	No	No Churn
CUST0041	Ejiro Mason	01 March 2025	76	Bauchi	5G Broadband Router	Female	3	Good	28	60GB Monthly Broadband Plan	" ?14,500.00 "	7	" ?101,500.00 "	24.57	No	No Churn
CUST0041	Ejiro Mason	01 March 2025	76	Bauchi	Mobile SIM Card	Female	3	Good	28	25GB Monthly Plan	" ?9,000.00 "	18	" ?162,000.00 "	24.35	No	No Churn
CUST0042	Shehu Hoffman	01 March 2025	40	Ondo	4G Router	Female	1	Poor	18	10GB+10mins Monthly Plan	" ?4,500.00 "	18	" ?81,000.00 "	60.80	No	No Churn
CUST0042	Shehu Hoffman	01 March 2025	40	Ondo	Mobile SIM Card	Female	1	Poor	18	1.5GB 2-Day Plan	 ?600.00 	2	" ?1,200.00 "	55.23	No	No Churn
CUST0043	Abubakar Johnson	01 January 2025	32	Yobe	5G Broadband Router	Male	5	Excellent	56	30GB Monthly Broadband Plan	" ?9,000.00 "	16	" ?144,000.00 "	50.87	Yes	Fast Data Consumption
CUST0043	Abubakar Johnson	01 January 2025	32	Yobe	Broadband MiFi	Male	5	Excellent	56	30GB Monthly Broadband Plan	" ?9,000.00 "	13	" ?117,000.00 "	164.51	Yes	Fast Data Consumption
CUST0044	Grace Walker	01 March 2025	25	Oyo	Mobile SIM Card	Male	1	Poor	10	500MB Daily Plan	 ?350.00 	13	" ?4,550.00 "	155.25	No	No Churn
CUST0045	Alabo Thompson	01 January 2025	72	Abia	4G Router	Female	5	Excellent	20	10GB+10mins Monthly Plan	" ?4,500.00 "	3	" ?13,500.00 "	53.30	No	No Churn
CUST0046	Amina Wright	01 January 2025	46	Enugu	Mobile SIM Card	Male	4	Very Good	11	500MB Daily Plan	 ?350.00 	10	" ?3,500.00 "	57.98	No	No Churn
CUST0046	Amina Wright	01 January 2025	46	Enugu	4G Router	Male	4	Very Good	11	165GB Monthly Plan	" ?35,000.00 "	8	" ?280,000.00 "	14.70	No	No Churn
CUST0046	Amina Wright	01 January 2025	46	Enugu	Broadband MiFi	Male	4	Very Good	11	300GB FUP Monthly Unlimited	" ?30,000.00 "	19	" ?570,000.00 "	157.67	No	No Churn
CUST0047	Bala Christian	01 February 2025	70	Delta	Broadband MiFi	Male	3	Good	42	150GB FUP Monthly Unlimited	" ?20,000.00 "	20	" ?400,000.00 "	158.63	No	No Churn
CUST0048	Abubakar Gentry	01 March 2025	72	Delta	Mobile SIM Card	Female	4	Very Good	45	2.5GB 2-Day Plan	 ?900.00 	11	" ?9,900.00 "	177.94	No	No Churn
CUST0048	Abubakar Gentry	01 March 2025	72	Delta	4G Router	Female	4	Very Good	45	25GB Monthly Plan	" ?9,000.00 "	8	" ?72,000.00 "	5.66	No	No Churn
CUST0048	Abubakar Gentry	01 March 2025	72	Delta	Broadband MiFi	Female	4	Very Good	45	120GB Monthly Broadband Plan	" ?24,000.00 "	1	" ?24,000.00 "	117.63	No	No Churn
CUST0049	Zainab Taylor	01 February 2025	21	Enugu	Mobile SIM Card	Female	3	Good	34	12.5GB Monthly Plan	" ?5,500.00 "	11	" ?60,500.00 "	69.92	Yes	Relocation
CUST0049	Zainab Taylor	01 February 2025	21	Enugu	Broadband MiFi	Female	3	Good	34	300GB FUP Monthly Unlimited	" ?30,000.00 "	6	" ?180,000.00 "	134.19	Yes	Relocation
CUST0050	Tega Stevens	01 February 2025	68	Yobe	5G Broadband Router	Female	5	Excellent	43	150GB FUP Monthly Unlimited	" ?20,000.00 "	13	" ?260,000.00 "	194.05	Yes	Poor Network
CUST0050	Tega Stevens	01 February 2025	68	Yobe	4G Router	Female	5	Excellent	43	65GB Monthly Plan	" ?16,000.00 "	18	" ?288,000.00 "	131.70	Yes	Poor Network
CUST0051	Zina Carter	01 March 2025	68	Oyo	Mobile SIM Card	Male	5	Excellent	34	1GB+1.5mins Daily Plan	 ?500.00 	10	" ?5,000.00 "	110.07	No	No Churn
CUST0051	Zina Carter	01 March 2025	68	Oyo	Broadband MiFi	Male	5	Excellent	34	60GB Monthly Broadband Plan	" ?14,500.00 "	16	" ?232,000.00 "	176.23	No	No Churn
CUST0051	Zina Carter	01 March 2025	68	Oyo	5G Broadband Router	Male	5	Excellent	34	150GB FUP Monthly Unlimited	" ?20,000.00 "	20	" ?400,000.00 "	6.26	No	No Churn
CUST0052	Halima Johnston	01 February 2025	36	Abia	Mobile SIM Card	Male	1	Poor	36	3.2GB 2-Day Plan	" ?1,000.00 "	5	" ?5,000.00 "	129.72	Yes	Better Offers from Competitors
CUST0053	Grace Christensen	01 February 2025	53	Zamfara	Mobile SIM Card	Female	4	Very Good	27	500MB Daily Plan	 ?350.00 	17	" ?5,950.00 "	184.41	Yes	Relocation
CUST0054	Amaka Potter	01 March 2025	24	Akwa Ibom	Mobile SIM Card	Female	1	Poor	22	16.5GB+10mins Monthly Plan	" ?6,500.00 "	11	" ?71,500.00 "	97.13	Yes	Costly Data Plans
CUST0054	Amaka Potter	01 March 2025	24	Akwa Ibom	Broadband MiFi	Female	1	Poor	22	120GB Monthly Broadband Plan	" ?24,000.00 "	13	" ?312,000.00 "	152.69	Yes	Costly Data Plans
CUST0054	Amaka Potter	01 March 2025	24	Akwa Ibom	Mobile SIM Card	Female	1	Poor	22	165GB Monthly Plan	" ?35,000.00 "	7	" ?245,000.00 "	186.60	Yes	Costly Data Plans
CUST0055	Halima Smith	01 March 2025	65	Osun	Mobile SIM Card	Female	4	Very Good	3	1.5GB 2-Day Plan	 ?600.00 	2	" ?1,200.00 "	99.32	No	No Churn
CUST0055	Halima Smith	01 March 2025	65	Osun	5G Broadband Router	Female	4	Very Good	3	300GB FUP Monthly Unlimited	" ?30,000.00 "	19	" ?570,000.00 "	100.71	No	No Churn
CUST0056	Tega Daniels	01 February 2025	28	Nasarawa	Mobile SIM Card	Male	1	Poor	34	165GB Monthly Plan	" ?35,000.00 "	9	" ?315,000.00 "	156.41	No	No Churn
CUST0056	Tega Daniels	01 February 2025	28	Nasarawa	Broadband MiFi	Male	1	Poor	34	300GB FUP Monthly Unlimited	" ?30,000.00 "	13	" ?390,000.00 "	124.84	No	No Churn
CUST0057	Chinedu Davis	01 February 2025	58	Adamawa	5G Broadband Router	Female	5	Excellent	21	60GB Monthly Broadband Plan	" ?14,500.00 "	14	" ?203,000.00 "	149.48	Yes	Poor Network
CUST0058	Ngozi Brown	01 March 2025	28	Nasarawa	5G Broadband Router	Male	1	Poor	45	200GB Monthly Broadband Plan	" ?25,000.00 "	5	" ?125,000.00 "	75.28	Yes	Better Offers from Competitors
CUST0059	Halima Williams	01 January 2025	68	Enugu	4G Router	Male	5	Excellent	12	10GB+10mins Monthly Plan	" ?4,500.00 "	9	" ?40,500.00 "	92.50	No	No Churn
CUST0059	Halima Williams	01 January 2025	68	Enugu	Mobile SIM Card	Male	5	Excellent	12	12.5GB Monthly Plan	" ?5,500.00 "	1	" ?5,500.00 "	51.44	No	No Churn
CUST0059	Halima Williams	01 January 2025	68	Enugu	Broadband MiFi	Male	5	Excellent	12	60GB Monthly Broadband Plan	" ?14,500.00 "	18	" ?261,000.00 "	180.29	No	No Churn
CUST0060	Amina Payne	01 March 2025	25	Nasarawa	5G Broadband Router	Female	4	Very Good	38	450GB 3-Month Broadband Plan	" ?75,000.00 "	4	" ?300,000.00 "	170.74	No	No Churn
CUST0060	Amina Payne	01 March 2025	25	Nasarawa	Broadband MiFi	Female	4	Very Good	38	150GB FUP Monthly Unlimited	" ?20,000.00 "	12	" ?240,000.00 "	76.58	No	No Churn
CUST0061	Abubakar Ewing	01 January 2025	53	Kano	Broadband MiFi	Female	5	Excellent	18	300GB FUP Monthly Unlimited	" ?30,000.00 "	8	" ?240,000.00 "	155.26	No	No Churn
CUST0061	Abubakar Ewing	01 January 2025	53	Kano	5G Broadband Router	Female	5	Excellent	18	200GB Monthly Broadband Plan	" ?25,000.00 "	7	" ?175,000.00 "	44.19	No	No Churn
CUST0061	Abubakar Ewing	01 January 2025	53	Kano	4G Router	Female	5	Excellent	18	25GB Monthly Plan	" ?9,000.00 "	5	" ?45,000.00 "	135.71	No	No Churn
CUST0062	Ngozi Henson	01 March 2025	21	Abia	Mobile SIM Card	Female	2	Fair	3	500MB Daily Plan	 ?350.00 	18	" ?6,300.00 "	26.87	Yes	Costly Data Plans
CUST0062	Ngozi Henson	01 March 2025	21	Abia	Broadband MiFi	Female	2	Fair	3	300GB FUP Monthly Unlimited	" ?30,000.00 "	9	" ?270,000.00 "	106.41	Yes	Costly Data Plans
CUST0063	Amina Flores	01 March 2025	48	Taraba	4G Router	Female	1	Poor	48	10GB+10mins Monthly Plan	" ?4,500.00 "	13	" ?58,500.00 "	172.10	No	No Churn
CUST0064	Ejiro Ford	01 January 2025	27	Kebbi	5G Broadband Router	Male	4	Very Good	17	200GB Monthly Broadband Plan	" ?25,000.00 "	8	" ?200,000.00 "	22.12	No	No Churn
CUST0064	Ejiro Ford	01 January 2025	27	Kebbi	Mobile SIM Card	Male	4	Very Good	17	12.5GB Monthly Plan	" ?5,500.00 "	18	" ?99,000.00 "	5.49	No	No Churn
CUST0064	Ejiro Ford	01 January 2025	27	Kebbi	4G Router	Male	4	Very Good	17	25GB Monthly Plan	" ?9,000.00 "	8	" ?72,000.00 "	183.09	No	No Churn
CUST0065	Kunle Shaw	01 February 2025	75	Abia	Mobile SIM Card	Female	1	Poor	8	3.2GB 2-Day Plan	" ?1,000.00 "	18	" ?18,000.00 "	47.34	No	No Churn
CUST0065	Kunle Shaw	01 February 2025	75	Abia	Broadband MiFi	Female	1	Poor	8	150GB FUP Monthly Unlimited	" ?20,000.00 "	12	" ?240,000.00 "	78.03	No	No Churn
CUST0066	David Schneider	01 January 2025	69	Plateau	Broadband MiFi	Female	4	Very Good	42	300GB FUP Monthly Unlimited	" ?30,000.00 "	15	" ?450,000.00 "	43.85	No	No Churn
CUST0066	David Schneider	01 January 2025	69	Plateau	5G Broadband Router	Female	4	Very Good	42	60GB Monthly Broadband Plan	" ?14,500.00 "	4	" ?58,000.00 "	171.16	No	No Churn
CUST0067	Ejiro Smith	01 February 2025	61	Oyo	Broadband MiFi	Female	1	Poor	18	150GB FUP Monthly Unlimited	" ?20,000.00 "	20	" ?400,000.00 "	128.52	No	No Churn
CUST0067	Ejiro Smith	01 February 2025	61	Oyo	5G Broadband Router	Female	1	Poor	18	30GB Monthly Broadband Plan	" ?9,000.00 "	11	" ?99,000.00 "	10.59	No	No Churn
CUST0068	Halima Anderson	01 February 2025	32	Ondo	5G Broadband Router	Male	5	Excellent	54	300GB FUP Monthly Unlimited	" ?30,000.00 "	20	" ?600,000.00 "	157.83	Yes	Better Offers from Competitors
CUST0069	Tunde Oliver	01 March 2025	51	Plateau	4G Router	Male	2	Fair	35	65GB Monthly Plan	" ?16,000.00 "	8	" ?128,000.00 "	71.97	Yes	Better Offers from Competitors
CUST0070	Ese Obrien	01 February 2025	18	Enugu	4G Router	Female	4	Very Good	4	10GB+10mins Monthly Plan	" ?4,500.00 "	4	" ?18,000.00 "	102.89	No	No Churn
CUST0071	Alabo Keith	01 March 2025	80	Osun	Broadband MiFi	Male	4	Very Good	47	60GB Monthly Broadband Plan	" ?14,500.00 "	14	" ?203,000.00 "	169.54	No	No Churn
CUST0072	Ngozi Hernandez	01 January 2025	78	Nasarawa	4G Router	Male	3	Good	58	25GB Monthly Plan	" ?9,000.00 "	19	" ?171,000.00 "	125.05	No	No Churn
CUST0073	Ese Flowers	01 February 2025	64	Bauchi	Mobile SIM Card	Female	1	Poor	30	165GB Monthly Plan	" ?35,000.00 "	8	" ?280,000.00 "	90.59	No	No Churn
CUST0074	Ibim Marshall	01 January 2025	59	Sokoto	5G Broadband Router	Female	3	Good	27	1.5TB Yearly Broadband Plan	" ?150,000.00 "	3	" ?450,000.00 "	13.89	No	No Churn
CUST0074	Ibim Marshall	01 January 2025	59	Sokoto	4G Router	Female	3	Good	27	65GB Monthly Plan	" ?16,000.00 "	12	" ?192,000.00 "	86.66	No	No Churn
CUST0074	Ibim Marshall	01 January 2025	59	Sokoto	Broadband MiFi	Female	3	Good	27	150GB FUP Monthly Unlimited	" ?20,000.00 "	19	" ?380,000.00 "	111.50	No	No Churn
CUST0075	Tega Medina	01 February 2025	31	Kogi	5G Broadband Router	Female	1	Poor	56	60GB Monthly Broadband Plan	" ?14,500.00 "	16	" ?232,000.00 "	31.37	No	No Churn
CUST0075	Tega Medina	01 February 2025	31	Kogi	4G Router	Female	1	Poor	56	10GB+10mins Monthly Plan	" ?4,500.00 "	12	" ?54,000.00 "	169.53	No	No Churn
